label,controller,delay_frames,ego_speed_kmh,lead_speed_kmh,mu,headway_thw,headway_d,avoided,collision_with,s_clearance,a_b_mfdd,t_c_warn,dv_speed_var,collision_speed_kmh,peak_decel,brake_distance,min_dist,a_req_at_brake,a_max,is_conflict,result_txt
baseline,baseline,0,20.0,20.0,0.85,1.0,5.555555555555555,True,,0.2019138357252963,10.453119983521168,1.0276972509210658,20.0,0.0,8.3385,2.132364273071289,4.9696979544055315,3.854961683271183,8.3385,True,AVOIDED
baseline,baseline,0,20.0,20.0,0.4,1.0,5.555555555555555,False,vehicle.ue4.audi.tt,0.0,0.0,1.027180161973942,8.740139531155819,11.259860468844181,3.924000000000003,0.0,4.895692838747953,3.8561031592528154,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,20.0,20.0,0.85,1.5,8.333333333333332,True,,1.0720443767769625,7.71498521924589,1.524544481957731,20.0,0.0,8.3385,2.937509536743164,5.839683536933365,3.642869055510605,8.3385,True,AVOIDED
baseline,baseline,0,20.0,20.0,0.4,1.5,8.333333333333332,False,vehicle.ue4.audi.tt,0.0,0.0,1.5241210236795302,15.290130420854286,4.709869579145714,3.924000000000003,0.0,4.907146465258253,3.6433767610283385,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,20.0,20.0,0.85,2.0,11.11111111111111,True,,1.3276138311944292,3.659027209484476,1.5769579829209088,20.0,0.0,3.335400049701338,4.358022689819336,6.095344544088494,2.6408963823463054,8.3385,True,AVOIDED
baseline,baseline,0,20.0,20.0,0.4,2.0,11.11111111111111,True,,0.20682145183274603,4.2613863048976794,1.5765482544638727,20.0,0.0,3.924000000000003,5.478311538696289,4.974672327687238,2.641128431557853,3.9240000000000004,True,AVOIDED
baseline,baseline,0,20.0,20.0,0.85,2.5,13.88888888888889,True,,3.0063323975487704,3.6585754881056736,1.5634631974108213,20.0,0.0,3.335400049701338,4.358644485473633,7.774063110438267,2.049671399985566,8.3385,True,AVOIDED
baseline,baseline,0,20.0,20.0,0.4,2.5,13.88888888888889,True,,0.5348053098150531,2.690518840616939,1.5631356248428965,20.0,0.0,3.924000000000003,6.829681396484375,5.302518856568293,2.0498076930225118,3.9240000000000004,True,AVOIDED
baseline,baseline,0,20.0,20.0,0.85,3.0,16.666666666666664,True,,4.4040851689989235,3.6574361751269278,1.5926756334445036,20.0,0.0,3.335400049701338,4.360797882080078,9.171817789249273,1.7271808654896244,8.3385,True,AVOIDED
baseline,baseline,0,20.0,20.0,0.4,3.0,16.666666666666664,True,,0.7004127617523199,2.0046487547329166,1.592566214080907,20.0,0.0,3.924000000000003,8.063982009887695,5.468263637606812,1.7272761451054515,3.9240000000000004,True,AVOIDED
baseline,baseline,0,30.0,30.0,0.85,1.0,8.333333333333334,True,,0.12737656277324128,9.287440317700943,1.4913584999013962,30.0,0.0,8.3385,5.677133560180664,4.895063406621209,5.527246761241946,8.3385,True,AVOIDED
baseline,baseline,0,30.0,30.0,0.4,1.0,8.333333333333334,False,vehicle.ue4.audi.tt,0.0,0.0,1.4965137535196515,17.77346760029708,12.226532399702918,3.924000000000003,0.0,4.92810249338815,5.529156961112872,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,30.0,30.0,0.85,1.5,12.5,True,,1.2146989160911073,8.359683304687305,1.4978341553493797,30.0,0.0,8.3385,6.274269104003906,5.982298022320891,4.541629174900243,8.3385,True,AVOIDED
baseline,baseline,0,30.0,30.0,0.4,1.5,12.5,False,vehicle.ue4.audi.tt,0.0,0.0,1.5001870955425671,20.78264135038605,9.21735864961395,3.924000000000003,0.0,4.922472001971764,4.542613936001572,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,30.0,30.0,0.85,2.0,16.666666666666668,True,,1.5107250217146735,4.938377924045225,1.558501907856058,30.0,0.0,8.3385,8.07876968383789,6.27849197412271,3.553040417315222,8.3385,True,AVOIDED
baseline,baseline,0,30.0,30.0,0.4,2.0,16.666666666666668,False,vehicle.ue4.audi.tt,0.0,0.0,1.5556423846254275,22.251260737266104,7.748739262733896,3.924000000000003,0.0,4.906608638545983,3.5536331835203545,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,30.0,30.0,0.85,2.5,20.833333333333336,True,,1.730516606536093,3.502564285803724,1.555509886909128,30.0,0.0,3.335400049701338,9.959571838378906,6.498367482390585,2.9208720157525128,8.3385,True,AVOIDED
baseline,baseline,0,30.0,30.0,0.4,2.5,20.833333333333336,False,vehicle.ue4.audi.tt,0.0,0.0,1.5568011846642291,23.030408738648983,6.969591261351017,3.924000000000003,0.0,4.898860932119428,2.921264935779513,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,30.0,30.0,0.85,3.0,25.0,True,,2.9992240114637587,3.501718372541213,1.5663577887799187,30.0,0.0,3.335400049701338,9.961446762084961,7.767074887318251,2.6387316278142037,8.3385,True,AVOIDED
baseline,baseline,0,30.0,30.0,0.4,3.0,25.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.564538689948,24.378391647114846,5.621608352885156,3.924000000000003,0.0,4.909687560513702,2.6390243405774925,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,40.0,40.0,0.85,1.0,11.11111111111111,False,vehicle.ue4.audi.tt,0.0,0.0,1.463429358931834,32.86637118689079,7.133628813109211,8.3385,0.0,4.906415428690845,6.585243016700176,8.3385,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,40.0,40.0,0.4,1.0,11.11111111111111,False,vehicle.ue4.audi.tt,0.0,0.0,1.4625655724835638,23.458496655187854,16.541503344812146,3.9239999999999853,0.0,4.919025429714253,6.587173239442366,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,40.0,40.0,0.85,1.5,16.666666666666664,False,vehicle.ue4.audi.tt,0.0,8.92490351418854,1.4978989383190238,37.41658734701361,2.5834126529863894,8.338500000000018,0.0,4.894690617894768,5.610379576220253,8.3385,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,40.0,40.0,0.4,1.5,16.666666666666664,False,vehicle.ue4.audi.tt,0.0,0.0,1.4979309987928373,26.110008614152303,13.889991385847697,3.924000000000003,0.0,4.9055557769639435,5.610950213515961,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,40.0,40.0,0.85,2.0,22.22222222222222,True,,0.9787410214319259,6.835319143198157,1.5352075693094698,40.0,0.0,8.3385,12.093549728393555,5.746363019271489,4.646139043398756,8.3385,True,AVOIDED
